               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10613,            0.028068,                   0,           0.0014444,             0.35135,            0.020116,           0.0079163,            0.092953,            0.019366,                   0,              0.0712,              0.0032,              0.0032
                   1,             0.07981,            0.028735,                   0,            0.084691,             0.27027,            0.073152,            0.022508,            0.083833,            0.017883,                   0,            0.041357,            0.006357,            0.006357
                   2,            0.074592,            0.026951,                   0,             0.24388,             0.18919,             0.10561,             0.03703,            0.083681,            0.015544,                   0,            0.011369,           0.0093688,           0.0093688
                   3,            0.078385,            0.023808,                   0,             0.22342,             0.18919,             0.15522,            0.070805,            0.097898,            0.012228,                   0,             0.00934,             0.00934,             0.00934
                   4,            0.077311,            0.022065,                   0,             0.68728,              0.2973,             0.30213,             0.12327,            0.079605,            0.012155,                   0,             0.00934,             0.00934,             0.00934
                   5,            0.071373,            0.019338,                   0,             0.63361,             0.24324,             0.27639,             0.13329,            0.077862,            0.011998,                   0,             0.00912,             0.00912,             0.00912
                   6,            0.064859,            0.018865,                   0,             0.54603,             0.26043,             0.32782,             0.11302,            0.072176,            0.012078,                   0,              0.0089,              0.0089,              0.0089
                   7,            0.059844,            0.021618,                   0,             0.60093,             0.35135,             0.41341,             0.15606,            0.062367,            0.012511,                   0,             0.00868,             0.00868,             0.00868
                   8,            0.054203,            0.020083,                   0,             0.76639,             0.40541,             0.51795,             0.24249,             0.05985,             0.01247,                   0,             0.00846,             0.00846,             0.00846
                   9,            0.050443,            0.020545,                   0,             0.66863,             0.56757,             0.61021,             0.34259,            0.057749,            0.012406,                   0,             0.00824,             0.00824,             0.00824
                  10,            0.046764,            0.020014,                   0,             0.68841,             0.51351,             0.54605,             0.22446,            0.055136,            0.012028,                   0,             0.00802,             0.00802,             0.00802
                  11,            0.043325,            0.017722,                   0,             0.69708,             0.55994,             0.64928,             0.25682,            0.050439,            0.012107,                   0,              0.0078,              0.0078,              0.0078
                  12,            0.042541,            0.016411,                   0,             0.64078,             0.57873,              0.6563,             0.23156,            0.050291,            0.011888,                   0,             0.00758,             0.00758,             0.00758
                  13,            0.042526,             0.01733,                   0,             0.53795,             0.78378,             0.60172,             0.21395,            0.045998,            0.012023,                   0,             0.00736,             0.00736,             0.00736
                  14,            0.039982,            0.016789,                   0,             0.92702,             0.68689,             0.81165,             0.41819,            0.042276,            0.011484,                   0,             0.00714,             0.00714,             0.00714
                  15,            0.034708,            0.016847,                   0,             0.85811,              0.7027,             0.83256,             0.31379,            0.041353,            0.011294,                   0,             0.00692,             0.00692,             0.00692
                  16,             0.03268,             0.01491,                   0,             0.65813,             0.81081,             0.70862,             0.38421,             0.03973,            0.010831,                   0,              0.0067,              0.0067,              0.0067
                  17,            0.038886,            0.013993,                   0,             0.69987,             0.81943,             0.81381,             0.43254,            0.043088,            0.010163,                   0,             0.00648,             0.00648,             0.00648
                  18,            0.036338,            0.012212,                   0,             0.89859,             0.83784,             0.87918,             0.50534,            0.042078,           0.0098753,                   0,             0.00626,             0.00626,             0.00626
                  19,            0.037025,             0.01371,                   0,             0.85452,             0.79394,             0.90274,             0.48393,            0.037331,             0.01007,                   0,             0.00604,             0.00604,             0.00604
                  20,            0.033393,            0.013932,                   0,             0.93571,             0.89189,             0.89608,             0.51787,            0.032938,           0.0099087,                   0,             0.00582,             0.00582,             0.00582
                  21,            0.032395,             0.01348,                   0,             0.92836,             0.81081,             0.92227,             0.49567,            0.035662,           0.0096351,                   0,              0.0056,              0.0056,              0.0056
                  22,            0.030353,            0.013182,                   0,              0.8385,             0.86486,             0.91901,             0.54985,            0.033299,           0.0096097,                   0,             0.00538,             0.00538,             0.00538
                  23,            0.028572,            0.012974,                   0,             0.68836,             0.89189,              0.8412,             0.50601,             0.02902,           0.0096399,                   0,             0.00516,             0.00516,             0.00516
                  24,            0.027581,            0.013267,                   0,             0.84308,             0.91892,             0.92192,             0.53951,             0.02997,            0.009528,                   0,             0.00494,             0.00494,             0.00494
                  25,            0.027313,            0.012671,                   0,             0.87687,             0.89189,             0.92633,               0.572,            0.029904,           0.0093709,                   0,             0.00472,             0.00472,             0.00472
                  26,            0.028249,             0.01291,                   0,             0.91149,             0.89189,             0.93615,             0.57787,             0.02927,           0.0090936,                   0,              0.0045,              0.0045,              0.0045
                  27,             0.02591,            0.011463,                   0,             0.94247,             0.89189,             0.91857,             0.56612,            0.030863,           0.0089085,                   0,             0.00428,             0.00428,             0.00428
                  28,            0.024506,            0.011844,                   0,             0.95485,             0.89189,             0.91739,             0.60091,              0.0295,           0.0087792,                   0,             0.00406,             0.00406,             0.00406
                  29,            0.024131,            0.012171,                   0,             0.93115,             0.89189,             0.93216,             0.54588,            0.029918,           0.0087188,                   0,             0.00384,             0.00384,             0.00384
                  30,            0.026147,            0.011928,                   0,             0.96997,             0.87302,              0.9159,             0.56484,            0.031307,           0.0084835,                   0,             0.00362,             0.00362,             0.00362
                  31,            0.023429,            0.011167,                   0,             0.91573,             0.89189,             0.91154,             0.60242,            0.029695,           0.0085168,                   0,              0.0034,              0.0034,              0.0034
                  32,            0.022275,            0.010469,                   0,              0.9641,             0.91892,              0.9534,             0.63426,            0.026472,           0.0084175,                   0,             0.00318,             0.00318,             0.00318
                  33,            0.021335,              0.0102,                   0,             0.94621,             0.89189,             0.94027,             0.62182,            0.027512,            0.008339,                   0,             0.00296,             0.00296,             0.00296
                  34,            0.022273,           0.0091753,                   0,                   1,             0.90854,             0.95915,             0.63507,            0.025648,           0.0082636,                   0,             0.00274,             0.00274,             0.00274
                  35,            0.021426,            0.010122,                   0,             0.96953,             0.86001,             0.93788,             0.60993,            0.027457,           0.0082445,                   0,             0.00252,             0.00252,             0.00252
                  36,            0.020765,           0.0098835,                   0,             0.99912,             0.89189,             0.95519,             0.66641,             0.02365,           0.0082706,                   0,              0.0023,              0.0023,              0.0023
                  37,             0.02029,            0.010202,                   0,             0.99465,             0.89189,             0.95214,             0.67241,            0.023267,           0.0081582,                   0,             0.00208,             0.00208,             0.00208
                  38,             0.01841,           0.0086686,                   0,                   1,             0.91228,             0.95338,             0.66318,            0.023846,           0.0081106,                   0,             0.00186,             0.00186,             0.00186
                  39,            0.019433,            0.010452,                   0,                   1,             0.91519,             0.95336,              0.6584,            0.025293,           0.0080018,                   0,             0.00164,             0.00164,             0.00164
                  40,             0.01859,           0.0087808,                   0,                   1,             0.91783,             0.95189,             0.68676,            0.023193,           0.0079154,                   0,             0.00142,             0.00142,             0.00142
                  41,            0.017387,           0.0094752,                   0,                   1,             0.91738,             0.95356,             0.68531,            0.022952,           0.0077912,                   0,              0.0012,              0.0012,              0.0012
                  42,            0.017776,           0.0094541,                   0,             0.99887,             0.91892,             0.95495,             0.70319,            0.022904,           0.0076861,                   0,             0.00098,             0.00098,             0.00098
                  43,            0.017796,            0.010198,                   0,             0.99729,             0.91892,              0.9563,             0.70475,            0.023079,           0.0076681,                   0,             0.00076,             0.00076,             0.00076
                  44,            0.017093,           0.0092731,                   0,              0.9667,             0.89189,             0.91809,             0.69586,            0.022896,           0.0076246,                   0,             0.00054,             0.00054,             0.00054
